Wordform	Lemma	POS	Gram
сведения	сведение	S	n,nom,pl
о	о	PR	
разбирательстве	разбирательство	S	n,loc,sg
дела	дело	S	n,gen,sg
или	или	CONJ	
совершении	совершение	S	n,loc,sg
отдельного	отдельный	A	sg,n,gen
процессуального	процессуальный	A	sg,n,gen
действия	действие	S	n,gen,sg
.			
Лицо	лицо	S	n,nom,sg
,			
представляющее	представлять	V	partcp,act,pres,sg,n,nom
